NO,W07:[CH#1]chamber heater press,W09:[CH#1]chamber heater press,W11:[CH#1]chamber heater press,W13:[CH#1]chamber heater press,W15:[CH#1]chamber heater press,W17:[CH#1]chamber heater press,W19:[CH#1]chamber heater press,W21:[CH#1]chamber heater press,W23:[CH#1]chamber heater press,W25:[CH#1]chamber heater press
83,11649,11983,12211,12275,12301,12314,12314,12275,12314,12301
84,11710,12046,12224,12275,12314,12314,12301,12275,12314,12275
85,11771,12084,12237,12301,12340,12314,12314,12314,12314,12353
86,11808,12135,12262,12275,12327,12314,12314,12327,12327,12275
87,11883,12147,12262,12314,12314,12314,12314,12314,12353,12301
88,11895,12185,12288,12340,12353,12314,12314,12314,12314,12314
89,11958,12211,12275,12365,12353,12301,12314,12327,12340,12314
90,12021,12211,12275,12353,12314,12314,12314,12327,12314,12314
91,12058,12262,12301,12314,12353,12340,12275,12353,12340,12314
92,12084,12262,12314,12353,12314,12314,12301,12340,12340,12327
93,12109,12275,12327,12314,12353,12314,12314,12353,12314,12314
94,12160,12275,12314,12353,12314,12327,12275,12353,12314,12275
95,12173,12288,12314,12353,12314,12314,12288,12327,12314,12314
96,12198,12288,12314,12365,12314,12314,12288,12314,12275,12301
97,12224,12301,12353,12353,12275,12314,12275,12340,12301,12314
98,12237,12314,12340,12365,12314,12314,12275,12327,12275,12314
99,12237,12275,12327,12314,12314,12340,12275,12340,12275,12301
100,12275,12275,12314,12353,12314,12340,12275,12340,12314,12288
101,12262,12314,12353,12365,12314,12314,12275,12314,12314,12314
102,12262,12353,12365,12365,12314,12314,12275,12340,12275,12314
103,12314,12353,12365,12365,12327,12275,12275,12340,12314,12314
104,12301,12365,12365,12365,12314,12353,12288,12365,12301,12275
105,12340,12353,12353,12365,12353,12353,12288,12353,12275,12301
106,12353,12365,12365,12391,12353,12353,12301,12365,12314,12275
107,12314,12353,12365,12365,12314,12365,12301,12365,12314,12288
108,12365,12365,12391,12404,12353,12353,12288,12365,12314,12314
109,12353,12365,12365,12391,12314,12365,12314,12365,12314,12314
110,12365,12391,12365,12365,12327,12353,12314,12353,12314,12314
111,12365,12365,12365,12365,12353,12365,12275,12353,12314,12275
112,12365,12365,12365,12391,12314,12353,12288,12365,12275,12275
113,12365,12365,12353,12365,12314,12340,12275,12365,12275,12275
114,12365,12365,12365,12365,12340,12365,12275,12353,12314,12288
115,12365,12353,12365,12365,12314,12314,12275,12340,12275,12275
116,12365,12353,12365,12353,12314,12353,12262,12340,12327,12275
117,12378,12353,12353,12365,12314,12327,12275,12353,12288,12275
118,12365,12353,12365,12365,12314,12353,12275,12353,12275,12275
119,12365,12365,12365,12365,12301,12353,12275,12314,12262,12275
120,12391,12365,12365,12365,12314,12340,12262,12353,12275,12275
121,12365,12353,12365,12365,12314,12353,12262,12340,12275,12262
122,12365,12365,12365,12365,12275,12314,12275,12314,12275,12275
123,12391,12353,12365,12365,12275,12314,12275,12314,12262,12275
124,12353,12353,12340,12365,12288,12314,12262,12301,12275,12262
125,12365,12353,12340,12353,12275,12288,12262,12314,12262,12288
126,12353,12340,12353,12353,12275,12275,12262,12275,12262,12275
127,12353,12365,12314,12327,12275,12301,12237,12262,12275,12262
128,12353,12314,12275,12314,12275,12275,12262,12275,12262,12262
129,12365,12314,12327,12314,12262,12275,12224,12275,12262,12262
130,12314,12301,12275,12314,12262,12275,12211,12275,12237,12275
131,12340,12314,12314,12327,12275,12275,12237,12288,12237,12314
132,12365,10634,7142,6129,5456,12262,12224,11846,12237,12275
133,2403,1541,1376,1116,1260,11784,8715,1634,3115,11958
134,901,664,710,465,575,1427,1215,696,1035,1908
135,406,411,388,318,371,632,640,422,553,772
136,287,271,260,225,251,395,400,276,331,454
137,209,211,203,173,199,263,264,213,231,289
138,164,165,160,146,157,206,196,166,185,222
139,140,136,132,123,130,162,156,136,149,171
140,119,119,116,107,115,138,133,116,124,140
141,103,103,102,94,101,117,114,104,111,122
142,87,82,79,71,81,102,103,83,94,106
143,67,68,57,57,63,85,80,65,72,86
144,53,54,49,49,51,66,63,54,60,70
145,44,45,42,41,44,53,51,44,49,55
146,39,39,35,35,38,45,44,38,41,46
147,34,34,29,32,33,38,38,33,36,40
148,27,26,22,23,26,33,33,24,32,34
149,21,21,18,18,20,27,25,20,23,29
150,17,17,15,15,16,21,20,16,19,22
151,15,14,13,13,14,17,16,14,15,18
152,12,13,11,11,12,14,14,12,13,15
153,11,11,10,10,11,12,12,10,12,13
154,10,10,8,9,10,11,11,9,10,11
155,8,8,6,7,8,10,10,8,9,10
156,7,7,5,6,6,8,8,6,7,8
157,6,6,5,5,6,7,7,5,6,7
158,5,5,4,4,5,6,6,5,5,6
159,5,4,3,3,4,5,5,4,5,5
160,3,3,2,3,3,4,4,3,4,5
161,3,3,2,2,2,3,3,2,3,4
162,2,2,1,2,2,3,2,2,2,3
163,2,2,1,2,2,2,2,2,2,2
164,2,2,1,1,1,2,2,1,2,2
165,1,1,1,1,1,1,1,1,1,1
166,1,1,1,1,1,1,1,1,1,1
167,1,1,1,1,1,1,1,1,1,1
168,1,1,1,1,1,1,1,1,1,1
169,1,1,1,1,1,1,1,1,1,1
170,1,1,0,1,1,1,1,1,1,1
171,1,1,0,1,1,1,1,1,1,1
172,1,1,0,1,1,1,1,1,1,1
173,1,1,0,1,1,1,1,1,1,1
174,1,1,0,1,1,1,1,1,1,1
175,1,1,0,1,1,1,1,1,1,1
176,1,1,0,1,1,1,1,1,1,1
177,1,1,0,1,1,1,1,1,1,1
178,1,1,0,1,1,1,1,1,1,1
179,1,1,0,1,1,1,1,1,1,1
180,1,1,0,1,1,1,1,1,1,1
181,1,1,0,1,1,1,1,1,1,1
182,1,1,0,1,1,1,1,1,1,1
183,1,1,0,1,1,1,1,1,1,1
184,1,1,0,1,1,1,1,1,1,1
185,1,1,0,1,1,1,1,1,1,1
186,1,1,0,1,1,1,1,1,1,1
187,1,1,0,1,1,1,1,1,1,1
188,1,1,0,1,1,1,1,1,1,1
189,1,1,0,1,1,1,1,1,1,1
190,1,1,0,1,1,1,1,1,1,1
191,1,1,0,1,1,1,1,1,1,1
192,1,1,0,1,1,1,1,1,1,1
193,1,1,0,1,1,1,1,1,1,1
194,1,1,0,1,1,1,1,1,1,1
195,1,1,0,1,1,1,1,1,1,1
196,1,1,0,1,1,1,1,1,1,1
197,1,1,0,1,1,1,1,1,1,1
198,1,1,0,1,1,1,1,1,1,1
199,1,1,0,1,1,1,1,1,1,1
200,1,1,0,1,1,1,1,1,1,1
201,1,1,0,1,1,1,1,1,1,1
202,1,1,0,0,1,1,1,1,1,1
203,0,0,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0,0,0
238,1,0,0,0,1,0,0,1,1,1
239,0,0,0,1,1,1,1,1,1,0
240,1,0,0,1,1,1,1,1,1,1
241,0,1,0,1,1,1,1,1,1,1
242,1,1,0,1,1,1,1,1,1,1
243,1,1,0,1,1,1,1,1,1,1
244,1,1,0,1,1,1,1,1,1,1
245,1,1,0,1,1,1,1,1,1,1
246,1,1,0,1,1,1,1,1,1,1
247,1,1,0,1,1,1,1,1,1,1
248,1,1,0,1,1,1,1,1,1,1
249,1,1,0,1,1,1,1,1,1,1
250,1,1,0,1,1,1,1,1,1,1
251,1,1,0,1,1,1,1,1,1,1
252,1,1,0,1,1,1,1,1,1,1
253,1,1,0,1,1,1,1,1,1,1
254,1,1,0,1,1,1,1,1,1,1
255,1,1,0,1,1,1,1,1,1,1
256,1,1,0,1,1,1,1,1,1,1
257,1,1,0,1,1,1,1,1,1,1
258,1,1,0,1,1,1,1,1,1,1
259,1,1,0,1,1,1,1,1,1,1
260,1,1,0,1,1,1,1,1,1,1
261,1,1,0,1,1,1,1,1,1,1
262,1,1,0,1,1,1,1,1,1,1
263,1,1,0,1,1,1,1,1,1,1
264,1,1,0,1,1,1,1,1,1,1
265,1,1,0,1,1,1,1,1,1,1
266,1,1,0,1,1,1,1,1,1,1
267,1,1,0,1,1,1,1,1,1,1
268,1,1,0,1,1,1,1,1,1,1
269,1,1,0,1,1,1,1,1,1,1
270,1,1,0,1,1,1,1,1,1,1
271,1,1,0,1,1,1,1,1,1,1
272,1,1,0,1,1,1,1,1,1,1
273,1,1,0,1,1,1,1,1,1,1
274,1,1,0,1,1,1,1,1,1,1
275,1,1,0,1,1,1,1,1,1,1
276,1,1,0,1,1,1,1,1,1,1
277,1,1,0,1,1,1,1,1,1,1
278,1,1,0,1,1,1,1,1,1,1
279,1,1,0,1,1,1,1,1,1,1
280,1,1,0,1,1,1,1,1,1,1
281,1,1,0,1,1,1,1,1,1,1
282,1,1,0,1,1,1,1,1,1,1
283,1,1,0,1,1,1,1,1,1,1
284,1,1,0,1,1,1,1,1,1,1
285,1,1,0,1,1,1,1,1,1,1
286,1,1,0,1,1,1,1,1,1,1
287,1,1,0,1,1,1,1,1,1,1
288,1,1,0,1,1,1,1,1,1,1
289,1,1,0,1,0,1,1,1,1,1
290,1,0,0,0,0,1,1,1,1,0
291,0,0,0,0,0,0,0,0,0,0
292,0,0,0,0,0,0,0,0,0,0
293,0,0,0,0,0,0,0,0,0,0
294,0,0,0,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0,0
296,0,0,0,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0
301,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0,0,0,0
307,0,0,0,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0,0,0,0
309,0,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0,0
313,0,0,0,0,0,0,0,0,0,0
314,0,0,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,0
316,0,0,0,0,0,0,0,0,0,0
317,0,0,0,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0,1
326,0,0,0,0,0,1,0,0,0,1
327,0,0,0,1,0,0,1,0,1,1
328,1,1,0,0,1,1,1,1,1,1
329,0,1,0,1,1,1,1,1,1,1
330,1,1,0,1,1,1,1,1,1,1
331,1,1,0,1,1,1,1,1,1,1
332,1,1,0,1,1,1,1,1,1,1
333,1,1,0,1,1,1,1,1,1,1
334,1,1,0,1,1,1,1,1,1,1
335,1,1,0,1,1,1,1,1,1,1
336,1,1,0,1,1,1,1,1,1,1
337,1,1,0,1,1,1,1,1,1,1
338,1,1,0,1,1,1,1,1,1,1
339,1,1,0,1,1,1,1,1,1,1
340,1,1,0,1,1,1,1,1,1,1
341,1,1,0,1,1,1,1,1,1,1
342,1,1,0,1,1,1,1,1,1,1
343,1,1,0,1,1,1,1,1,1,1
344,1,1,1,1,1,1,1,1,1,1
345,1,1,1,1,1,1,1,1,1,1
346,1,1,1,1,1,1,1,1,1,1
347,1,1,1,1,1,1,1,1,1,1
348,1,1,1,1,1,1,1,1,1,1
349,1,1,1,1,1,1,1,1,1,1
350,1,1,1,1,1,1,1,1,1,1
351,1,1,1,1,1,1,1,1,1,1
352,1,1,1,1,1,1,1,1,1,1
353,1,1,1,1,1,1,1,1,1,1
354,1,1,1,1,1,1,1,1,1,1
355,1,1,1,1,1,1,1,1,1,1
356,1,1,1,1,1,1,1,1,1,1
357,1,1,1,1,1,1,1,1,1,1
358,1,1,1,1,1,1,1,1,1,1
359,1,1,1,1,1,1,1,1,1,1
360,1,1,1,1,1,1,1,1,1,1
361,1,1,1,1,1,1,1,1,1,1
362,1,1,1,1,1,1,1,1,1,1
363,1,1,1,1,1,1,1,1,1,1
364,1,1,1,1,1,1,1,1,1,1
365,1,1,1,1,1,1,1,1,1,1
366,1,1,1,1,1,1,1,1,1,1
367,1,1,1,1,1,1,1,1,1,1
368,1,1,1,1,1,1,1,1,1,1
369,1,1,1,1,1,1,1,1,1,1
370,1,1,1,1,1,1,1,1,1,1
371,1,1,1,1,1,1,1,1,1,1
372,1,1,1,1,1,1,1,1,1,1
373,1,1,1,1,1,1,1,1,1,1
374,1,1,1,1,1,1,1,1,1,1
375,1,1,1,1,1,1,1,1,1,1
376,1,1,1,1,1,1,1,1,1,1
377,1,1,1,1,1,1,1,1,1,1
378,1,1,0,0,0,1,1,1,1,0
379,0,0,0,0,0,0,1,0,0,0
380,0,0,0,0,0,0,0,0,0,0
381,0,0,0,0,0,0,0,0,0,0
382,0,0,0,0,0,0,0,0,0,0
383,0,0,0,0,0,0,0,0,0,0
384,0,0,0,0,0,0,0,0,0,0
385,0,0,0,0,0,0,0,0,0,0
386,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0,0,0,0
389,0,0,,,,0,0,0,0,
390,,,,,,,0,,,
391,,,,,,,0,,,
