NO,W01:[CH#1]chamber heater press,W03:[CH#1]chamber heater press,W05:[CH#1]chamber heater press,W07:[CH#1]chamber heater press,W09:[CH#1]chamber heater press,W11:[CH#1]chamber heater press,W13:[CH#1]chamber heater press,W16:[CH#1]chamber heater press,W18:[CH#1]chamber heater press,W20:[CH#1]chamber heater press,W22:[CH#1]chamber heater press
210,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0,0
226,1,0,0,0,0,1,0,1,0,1,0
227,1,0,0,1,1,1,1,1,0,1,0
228,1,1,0,1,1,1,1,1,0,1,1
229,1,1,0,1,1,1,1,1,1,1,1
230,1,1,0,1,1,1,1,1,1,1,1
231,1,1,0,1,1,1,1,1,1,1,1
232,1,1,0,1,1,1,1,1,1,1,1
233,1,1,0,1,1,1,1,1,1,1,1
234,1,1,0,1,1,1,1,1,1,1,1
235,1,1,0,1,1,1,1,1,1,1,1
236,1,1,0,1,1,1,1,1,1,1,1
237,1,1,0,1,1,1,1,1,1,1,1
238,1,1,0,1,1,1,1,1,1,1,1
239,1,1,0,1,1,1,1,1,1,1,1
240,1,1,0,1,1,1,1,1,1,1,1
241,1,1,0,1,1,1,1,1,1,1,1
242,1,1,0,1,1,1,1,1,1,1,1
243,1,1,0,1,1,1,1,1,1,1,1
244,1,1,0,1,1,1,1,1,1,1,1
245,1,1,0,1,1,1,1,1,1,1,1
246,1,1,0,1,1,1,1,1,1,1,1
247,1,1,0,1,1,1,1,1,1,1,1
248,1,1,0,1,1,1,1,1,1,1,1
249,1,1,0,1,1,1,1,1,1,1,1
250,1,1,0,1,1,1,1,1,1,1,1
251,1,1,0,1,1,1,1,1,1,1,1
252,1,1,0,1,1,1,1,1,1,1,1
253,1,1,0,1,1,1,1,1,1,1,1
254,1,1,0,1,1,1,1,1,1,1,1
255,1,1,0,1,1,1,1,1,1,1,1
256,1,1,0,1,1,1,1,1,1,1,1
257,1,1,0,1,1,1,1,1,1,1,1
258,1,1,0,1,1,1,1,1,1,1,1
259,1,1,0,1,1,1,1,1,1,1,1
260,1,1,0,1,1,1,1,1,1,1,1
261,1,1,0,1,1,1,1,1,1,1,1
262,1,1,0,1,1,1,1,1,1,1,1
263,1,1,0,1,1,1,1,1,1,1,1
264,1,1,0,1,1,1,1,1,1,1,1
265,1,1,0,1,1,1,1,1,1,1,1
266,1,1,0,1,1,1,1,1,1,1,1
267,1,1,0,1,1,1,1,1,1,1,1
268,1,1,0,1,1,1,1,1,1,1,1
269,1,1,0,1,1,1,1,1,1,1,1
270,1,1,0,1,1,1,1,1,1,1,1
271,1,1,0,1,1,1,1,1,1,1,1
272,1,1,0,1,1,1,1,1,1,1,1
273,1,1,0,1,1,1,1,1,1,1,1
274,1,1,0,1,1,1,1,1,1,1,1
275,1,1,0,1,1,1,1,1,1,1,1
276,1,1,0,1,1,1,1,1,1,1,1
277,0,0,0,0,0,0,0,0,1,0,0
278,0,0,0,0,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,0,0,0,0
281,0,0,0,0,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0,0,0,0
283,0,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0,0,0,0,0
287,0,0,0,0,0,0,0,0,0,0,0
288,0,0,0,0,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0,0,0
292,0,0,0,0,0,0,0,0,0,0,0
293,0,0,0,0,0,0,0,0,0,0,0
294,0,0,0,0,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0,0,0
296,0,0,0,0,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0,0
301,0,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0,0,0,0,0
307,0,0,0,0,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0,0,0,0,0
309,0,0,0,0,0,0,0,0,0,0,0
310,0,0,0,1,1,0,0,0,0,0,0
311,0,1,0,1,1,1,1,0,0,0,1
312,1,1,0,1,1,1,1,1,1,1,1
313,1,1,0,1,1,1,1,1,1,1,1
314,1,1,0,1,1,1,1,1,1,1,1
315,1,1,0,1,1,1,1,1,1,1,1
316,1,1,0,1,1,1,1,1,1,1,1
317,1,1,0,1,1,1,1,1,1,1,1
318,1,1,0,1,1,1,1,1,1,1,1
319,1,1,0,1,1,1,1,1,1,1,1
320,1,1,0,1,1,1,1,1,1,1,1
321,1,1,0,1,1,1,1,1,1,1,1
322,1,1,1,1,1,1,1,1,1,1,1
323,1,1,1,1,1,1,1,1,1,1,1
324,1,1,1,1,1,1,1,1,1,1,1
325,1,1,1,1,1,1,1,1,1,1,1
326,1,1,1,1,1,1,1,1,1,1,1
327,1,1,1,1,1,1,1,1,1,1,1
328,1,1,1,1,1,1,1,1,1,1,1
329,1,1,1,1,1,1,1,1,1,1,1
330,1,1,1,1,1,1,1,1,1,1,1
331,1,1,1,1,1,1,1,1,1,1,1
332,1,1,1,1,1,1,1,1,1,1,1
333,1,1,1,1,1,1,1,1,1,1,1
334,1,1,1,1,1,1,1,1,1,1,1
335,1,1,1,1,1,1,1,1,1,1,1
336,1,1,1,1,1,1,1,1,1,1,1
337,1,1,1,1,1,1,1,1,1,1,1
338,1,1,1,1,1,1,1,1,1,1,1
339,1,1,1,1,1,1,1,1,1,1,1
340,1,1,1,1,1,1,1,1,1,1,1
341,1,1,1,1,1,1,1,1,1,1,1
342,1,1,1,1,1,1,1,1,1,1,1
343,1,1,1,1,1,1,1,1,1,1,1
344,1,1,1,1,1,1,1,1,1,1,1
345,1,1,1,1,1,1,1,1,1,1,1
346,1,1,1,1,1,1,1,1,1,1,1
347,1,1,1,1,1,1,1,1,1,1,1
348,1,1,1,1,1,1,1,1,1,1,1
349,1,1,1,1,1,1,1,1,1,1,1
350,1,1,1,1,1,1,1,1,1,1,1
351,1,1,1,1,1,1,1,1,1,1,1
352,1,1,1,1,1,1,1,1,1,1,1
353,1,1,1,1,1,1,1,1,1,1,1
354,1,1,1,1,1,1,1,1,1,1,1
355,1,0,1,1,1,1,1,1,1,1,1
356,1,0,1,1,1,1,1,1,1,1,1
357,1,0,1,1,1,1,1,1,1,1,1
358,1,0,1,1,1,1,1,1,1,1,1
359,1,0,0,1,1,1,1,1,1,1,1
360,1,,0,1,1,1,1,1,1,1,1
361,0,,0,0,0,0,0,1,1,0,0
362,0,,0,0,0,0,0,0,0,0,0
363,0,,0,0,0,0,0,0,0,0,0
364,0,,0,0,0,0,0,0,0,0,0
365,0,,0,0,0,0,0,0,0,0,0
366,0,,0,0,0,0,0,0,0,0,0
367,0,,0,0,0,0,0,0,0,0,0
368,0,,0,0,0,0,0,0,0,0,0
369,0,,0,0,0,0,0,0,0,0,0
370,0,,,0,0,0,0,0,0,0,0
371,0,,,0,0,0,0,0,0,0,0
372,,,,,,,,0,,,
