NO,W02:[CH#1]chamber heater press,W04:[CH#1]chamber heater press,W06:[CH#1]chamber heater press,W08:[CH#1]chamber heater press,
237,0,0,0,0,
238,0,0,0,0,
239,0,0,0,0,
240,0,0,0,0,
241,0,0,0,0,
242,0,0,0,0,
243,0,0,0,0,
244,0,0,0,1,
245,1,0,0,1,
246,1,0,1,0,
247,1,0,1,0,
248,1,0,1,0,
249,1,0,1,1,
250,1,0,1,0,
251,1,0,1,1,
252,1,0,1,0,
253,1,0,1,1,
254,1,0,1,1,
255,1,0,1,1,
256,1,0,1,1,
257,0,0,1,1,
258,1,0,1,1,
259,1,0,1,1,
260,1,0,1,1,
261,1,0,1,1,
262,1,0,1,1,
263,1,0,1,1,
264,1,0,1,1,
265,1,0,1,1,
266,1,0,0,1,
267,1,0,1,1,
268,1,0,0,1,
269,1,0,1,1,
270,1,0,1,1,
271,1,0,0,1,
272,1,0,0,1,
273,0,0,1,1,
274,0,0,1,1,
275,0,0,1,1,
276,0,0,0,1,
277,0,0,0,1,
278,1,0,0,1,
279,0,0,0,1,
280,0,0,1,1,
281,0,0,1,1,
282,0,0,1,1,
283,0,0,1,1,
284,0,0,1,1,
285,0,0,1,1,
286,0,0,0,1,
287,0,0,1,1,
288,0,0,0,1,
289,0,0,0,1,
290,0,0,0,1,
291,0,0,1,1,
292,0,0,0,0,
293,0,0,0,0,
294,0,0,0,0,
295,0,0,0,0,
296,0,0,0,0,
297,0,0,0,0,
298,0,0,0,0,
299,0,0,0,0,
300,0,0,0,0,
301,0,0,0,0,
302,0,0,0,0,
303,0,0,0,0,
304,0,0,0,0,
305,0,0,0,0,
306,0,0,0,0,
307,0,0,0,0,
308,0,0,0,0,
309,0,0,0,0,
310,0,0,0,0,
311,0,0,0,0,
312,0,0,0,0,
313,0,0,0,0,
314,0,0,0,0,
315,0,0,0,0,
316,0,0,0,0,
317,0,0,0,0,
318,0,0,0,0,
319,0,0,0,0,
320,0,0,0,0,
321,0,0,0,0,
322,0,0,0,0,
323,0,0,0,0,
324,0,0,0,0,
325,0,0,0,0,
326,0,0,0,0,
327,0,0,0,0,
328,0,0,0,0,
329,0,0,0,0,
330,0,0,0,0,
331,0,0,0,0,
332,0,0,0,0,
333,1,0,0,1,
334,0,0,0,1,
335,1,0,0,1,
336,1,0,1,1,
337,1,0,1,1,
338,1,0,0,1,
339,0,0,1,1,
340,0,0,1,1,
341,0,0,1,1,
342,1,0,1,1,
343,0,0,1,1,
344,1,0,1,1,
345,1,0,1,1,
346,1,0,1,1,
347,1,0,1,1,
348,1,0,1,1,
349,1,0,1,1,
350,1,0,1,1,
351,1,0,1,1,
352,0,0,1,1,
353,1,0,1,1,
354,1,0,1,1,
355,0,0,1,1,
356,0,0,1,1,
357,0,0,1,1,
358,1,0,1,1,
359,1,1,0,1,
360,0,1,1,1,
361,1,0,1,1,
362,1,0,1,1,
363,1,0,1,1,
364,0,0,1,1,
365,0,1,1,1,
366,0,1,1,1,
367,0,0,1,1,
368,0,0,1,1,
369,0,0,1,1,
370,0,1,1,1,
371,1,0,1,1,
372,0,0,1,1,
373,0,0,1,1,
374,0,0,1,1,
375,0,1,1,1,
376,1,1,1,1,
377,0,1,1,1,
378,1,1,1,1,
379,0,0,1,1,
380,0,0,1,0,
381,0,0,0,0,
382,0,0,0,0,
383,0,0,0,0,
384,0,0,0,0,
385,0,0,0,0,
386,0,0,0,0,
387,0,0,0,0,
388,0,0,0,0,
389,0,0,0,0,
390,,0,0,,
391,,,0,,
